Time,ReactorFeedRateStream6,ReactorPressurekPagauge,ReactorLevel,ReactorTemperatureDegC,PurgeRateStream9,ProductSepTempDegC,StripperTemperatureDegC,CompressorWorkkW
2004-01-01 00:00:00,42.402,2704.3,74.863,120.41,0.33818,80.044,65.732,341.22
2004-01-01 00:01:00,42.576,2705.0,75.0,120.41,0.3362,80.078,65.716,341.3
2004-01-01 00:02:00,42.07,2706.2,74.771,120.42,0.33563,80.22,65.732,341.38
2004-01-01 00:03:00,42.063,2707.2,75.224,120.39,0.33553,80.305,65.781,341.71
2004-01-01 00:04:00,42.65,2705.1,75.388,120.39,0.32632,80.064,65.788,341.11
2004-01-01 00:05:00,41.999,2703.8,75.05,120.39,0.33018,79.859,65.711,341.52
2004-01-01 00:06:00,42.448,2704.0,75.498,120.39,0.33565,80.017,65.677,341.66
2004-01-01 00:07:00,42.412,2704.9,74.883,120.42,0.3367,80.173,65.691,341.44
2004-01-01 00:08:00,42.238,2703.2,74.657,120.37,0.33351,80.068,65.737,341.53
2004-01-01 00:09:00,42.144,2705.3,74.227,120.44,0.32828,80.242,65.74,342.1
2004-01-01 00:10:00,42.014,2703.9,75.193,120.39,0.35435,80.241,65.774,341.2
2004-01-01 00:11:00,42.81,2703.8,74.927,120.41,0.35572,80.159,65.806,341.84
2004-01-01 00:12:00,42.42,2702.1,74.162,120.4,0.33749,79.954,65.755,341.99
2004-01-01 00:13:00,42.552,2702.5,75.831,120.42,0.33658,80.13,65.743,341.33
2004-01-01 00:14:00,42.685,2704.9,74.45,120.38,0.31894,80.302,65.751,341.2
2004-01-01 00:15:00,42.092,2706.8,75.553,120.41,0.31518,80.421,65.818,341.66
2004-01-01 00:16:00,42.459,2703.7,75.906,120.39,0.33876,80.243,65.801,341.55
2004-01-01 00:17:00,42.303,2696.1,74.57,120.4,0.33787,79.805,65.74,341.38
2004-01-01 00:18:00,42.107,2695.5,75.508,120.38,0.33706,79.844,65.623,341.66
2004-01-01 00:19:00,42.307,2699.2,75.131,120.38,0.33704,80.191,65.587,341.35
2004-01-01 00:20:00,42.564,2701.5,75.073,120.4,0.33729,80.384,65.649,341.45
2004-01-01 00:21:00,42.452,2701.2,74.917,120.41,0.33888,80.229,65.679,341.07
2004-01-01 00:22:00,42.765,2699.8,74.646,120.4,0.35154,80.175,65.707,341.4
2004-01-01 00:23:00,42.538,2699.6,74.685,120.39,0.35221,80.139,65.683,341.47
2004-01-01 00:24:00,42.089,2700.5,75.605,120.42,0.33267,80.246,65.689,341.38
2004-01-01 00:25:00,42.203,2700.0,74.491,120.41,0.33254,80.286,65.745,341.01
2004-01-01 00:26:00,42.384,2697.8,74.593,120.42,0.34966,80.234,65.814,340.95
2004-01-01 00:27:00,42.723,2699.5,73.918,120.39,0.34734,80.273,65.832,341.54
2004-01-01 00:28:00,42.505,2696.8,75.807,120.41,0.34205,80.204,65.877,340.82
2004-01-01 00:29:00,42.296,2696.9,75.005,120.4,0.33893,80.221,65.906,340.7
2004-01-01 00:30:00,42.395,2698.9,75.073,120.41,0.32419,80.437,65.961,340.43
2004-01-01 00:31:00,42.294,2697.2,74.318,120.38,0.32758,80.35,66.03,340.49
2004-01-01 00:32:00,42.391,2695.8,75.02,120.38,0.3525,80.202,66.044,340.35
2004-01-01 00:33:00,42.21,2696.8,75.194,120.41,0.35103,80.274,66.049,340.32
2004-01-01 00:34:00,42.49,2698.4,74.431,120.4,0.34443,80.482,66.08,339.81
2004-01-01 00:35:00,42.549,2696.6,73.968,120.39,0.34306,80.452,66.144,340.15
2004-01-01 00:36:00,42.666,2695.0,74.733,120.38,0.33888,80.178,66.163,339.67
2004-01-01 00:37:00,42.377,2696.0,74.975,120.42,0.34231,80.227,66.145,340.4
2004-01-01 00:38:00,42.424,2697.1,74.035,120.41,0.36196,80.36,66.12,339.94
2004-01-01 00:39:00,42.582,2697.6,75.249,120.39,0.36227,80.452,66.193,340.22
2004-01-01 00:40:00,42.854,2696.2,75.389,120.39,0.34573,80.309,66.216,339.76
2004-01-01 00:41:00,42.746,2694.5,74.896,120.4,0.34687,80.172,66.197,340.3
2004-01-01 00:42:00,42.414,2696.5,73.887,120.43,0.33739,80.305,66.162,340.57
2004-01-01 00:43:00,42.696,2698.4,74.921,120.4,0.33673,80.635,66.23,339.83
2004-01-01 00:44:00,42.447,2696.7,75.238,120.42,0.33436,80.549,66.305,339.98
2004-01-01 00:45:00,42.127,2694.7,75.719,120.32,0.33577,80.361,66.31,339.8
2004-01-01 00:46:00,42.247,2694.4,75.008,120.43,0.32657,80.118,66.24,339.69
2004-01-01 00:47:00,42.293,2694.8,75.648,120.35,0.32734,80.056,66.18,340.16
2004-01-01 00:48:00,42.126,2696.9,74.681,120.43,0.33256,80.266,66.163,340.35
2004-01-01 00:49:00,42.056,2696.3,74.543,120.38,0.33428,80.264,66.2,339.57
2004-01-01 00:50:00,42.321,2698.0,74.634,120.4,0.31444,80.375,66.228,340.19
2004-01-01 00:51:00,42.446,2701.8,74.566,120.39,0.31459,80.531,66.315,340.43
2004-01-01 00:52:00,42.279,2700.6,74.918,120.4,0.33628,80.397,66.379,340.21
2004-01-01 00:53:00,42.144,2699.4,74.039,120.42,0.33886,80.344,66.364,340.07
2004-01-01 00:54:00,42.52,2699.2,74.73,120.37,0.33646,80.179,66.363,340.25
2004-01-01 00:55:00,42.335,2699.1,74.491,120.43,0.33524,80.188,66.328,340.42
2004-01-01 00:56:00,42.419,2697.7,74.56,120.38,0.34294,80.094,66.303,340.26
2004-01-01 00:57:00,42.536,2700.6,74.833,120.41,0.33899,80.25,66.268,340.48
2004-01-01 00:58:00,42.247,2701.2,75.529,120.37,0.34443,80.485,66.333,340.93
2004-01-01 00:59:00,42.405,2701.2,74.893,120.39,0.34352,80.419,66.4,340.33
2004-01-01 01:00:00,42.234,2702.3,75.176,120.35,0.35485,80.337,66.4,341.1
2004-01-01 01:01:00,42.449,2699.7,74.87,120.39,0.35815,79.911,66.331,341.53
2004-01-01 01:02:00,42.024,2702.1,75.247,120.39,0.34342,79.863,66.239,341.56
2004-01-01 01:03:00,42.503,2704.0,75.022,120.39,0.34333,79.923,66.177,342.0
2004-01-01 01:04:00,42.764,2710.1,74.119,120.44,0.34029,80.334,66.213,341.74
2004-01-01 01:05:00,42.405,2713.2,74.497,120.44,0.33912,80.722,66.357,341.46
2004-01-01 01:06:00,42.434,2710.2,74.015,120.42,0.33151,80.509,66.425,341.01
2004-01-01 01:07:00,42.408,2703.6,74.66,120.43,0.33452,79.94,66.373,341.07
2004-01-01 01:08:00,42.403,2704.1,75.712,120.4,0.33673,79.891,66.24,341.56
2004-01-01 01:09:00,42.532,2701.6,74.642,120.4,0.33399,79.737,66.159,341.43
2004-01-01 01:10:00,42.573,2703.1,74.656,120.43,0.32564,79.94,66.116,341.8
2004-01-01 01:11:00,42.387,2703.6,74.517,120.4,0.32925,80.134,66.173,341.74
2004-01-01 01:12:00,42.489,2703.0,75.776,120.41,0.33908,80.206,66.198,341.24
2004-01-01 01:13:00,42.237,2704.5,75.403,120.38,0.3391,80.34,66.243,341.3
2004-01-01 01:14:00,42.536,2701.7,75.08,120.39,0.33815,80.296,66.271,341.16
2004-01-01 01:15:00,42.235,2699.9,74.966,120.4,0.34067,80.11,66.253,340.6
2004-01-01 01:16:00,42.787,2696.6,75.278,120.36,0.32722,79.954,66.2,340.46
2004-01-01 01:17:00,42.239,2700.0,75.939,120.4,0.32393,80.077,66.11,340.76
2004-01-01 01:18:00,42.442,2700.1,75.044,120.37,0.34347,80.211,66.13,340.32
2004-01-01 01:19:00,42.266,2703.1,74.975,120.39,0.34354,80.367,66.128,340.7
